player_id,club_id,first_name,last_name,club,position,nationality,shirt_num,best_player_counter
145,114,Ramiro,Funes  ,Everton,CB,Argentina,79,0
146,114,Maarten,Stekelenburg  ,Everton,GK,Netherlands,71,0
147,114,Gareth,Barry  ,Everton,DM,England,15,0
148,114,Tom,Davies  ,Everton,CM,England,16,0
149,114,Mason,Holgate  ,Everton,CB,England,39,0
150,114,Yannick,Bolasie  ,Everton,LW,Congo DR,35,0
151,114,Morgan,Schneiderlin  ,Everton,DM,France,29,0
152,114,Cuco,Martina  ,Everton,RB,Curacao,91,0
153,114,James,McCarthy  ,Everton,CM,Ireland,79,0
154,114,Aaron,Lennon  ,Everton,RW,England,70,0
155,114,Dominic,Calvert-Lewin  ,Everton,SS,England,40,0
156,114,Ademola,Lookman  ,Everton,LW,England,93,0
157,114,Matthew,Pennington  ,Everton,CB,England,55,0
158,114,Jonjoe,Kenny  ,Everton,RB,England,8,0
159,114,Muhamed,Besic  ,Everton,DM,Germany,78,0
160,114,Davy,Klaassen  ,Everton,AM,Netherlands,26,0
161,114,Sandro,Ramirez  ,Everton,CF,Spain,92,0
162,116,Joel,Coleman  ,Huddersfield Town,GK,England,64,0
163,116,Jonas,Lossl  ,Huddersfield Town,GK,Denmark,92,0
164,116,Christopher,Schindler  ,Huddersfield Town,CB,Germany,89,0
165,116,Chris,Lowe  ,Huddersfield Town,LB,Germany,92,0
166,116,Tommy,Smith  ,Huddersfield Town,RB,England,45,0
167,116,Michael,Hefele  ,Huddersfield Town,CB,Germany,82,0
168,116,Martin,Cranie  ,Huddersfield Town,CB,England,48,0
169,116,Jon,Gorenc  ,Huddersfield Town,CB,Slovenia,6,0
170,116,Mark,Hudson  ,Huddersfield Town,CB,England,1,0
171,116,Mathias,Jorgensen  ,Huddersfield Town,CB,Denmark,83,0
172,116,Scott,Malone  ,Huddersfield Town,LB,England,50,0
173,116,Aaron,Mooy  ,Huddersfield Town,CM,Australia,18,0
174,116,Rajiv,van  ,Huddersfield Town,LW,Netherlands,87,0
175,116,Jonathan,Hogg  ,Huddersfield Town,CM,England,24,0
176,116,Philip,Billing  ,Huddersfield Town,CM,Denmark,87,0
177,116,Joe,Lolley  ,Huddersfield Town,RW,England,24,0
178,116,Jack,Payne  ,Huddersfield Town,CM,England,79,0
179,116,Dean,Whitehead  ,Huddersfield Town,CM,England,83,0
180,116,Harry,Bunn  ,Huddersfield Town,LW,England,76,0
181,116,Sean,Scannell  ,Huddersfield Town,RW,Ireland,42,0
182,116,Elias,Kachunga  ,Huddersfield Town,RW,Congo DR,33,0
183,116,Tom,Ince  ,Huddersfield Town,RW,England,30,0
184,116,Kasey,Palmer  ,Huddersfield Town,AM,England,20,0
185,116,Andy,Williams  ,Huddersfield Town,CB,Trinidad and Tobago,97,0
186,116,Nahki,Wells  ,Huddersfield Town,CF,Bermuda,62,0
187,116,Collin,Quaner  ,Huddersfield Town,CF,Germany,61,0
188,116,Laurent,Depoitre  ,Huddersfield Town,CF,Belgium,94,0
189,116,Steve,Mounie  ,Huddersfield Town,CF,Benin,33,0
190,118,Jamie,Vardy  ,Leicester City,CF,England,97,0
191,118,Riyad,Mahrez  ,Leicester City,RW,Algeria,79,0
192,118,Kasper,Schmeichel  ,Leicester City,GK,Denmark,21,0
193,118,Christian,Fuchs  ,Leicester City,LB,Austria,22,0
194,118,Marc,Albrighton  ,Leicester City,LM,England,2,0
195,118,Robert,Huth  ,Leicester City,CB,Germany,78,0
196,118,Danny,Simpson  ,Leicester City,RB,England,27,0
197,118,Islam,Slimani  ,Leicester City,CF,Algeria,86,0
198,118,Harry,Maguire  ,Leicester City,CB,England,18,0
199,118,Danny,Drinkwater  ,Leicester City,CM,England,90,0
200,118,Wes,Morgan  ,Leicester City,CB,Jamaica,59,0
201,118,Shinji,Okazaki  ,Leicester City,CF,Japan,72,0
202,118,Wilfred,Ndidi  ,Leicester City,DM,Nigeria,45,0
203,118,Demarai,Gray  ,Leicester City,LW,England,40,0
204,118,Daniel,Amartey  ,Leicester City,DM,Ghana,67,0
205,118,Andy,King  ,Leicester City,CM,Wales,76,0
206,118,Ahmed,Musa  ,Leicester City,CF,Nigeria,9,0
207,118,Yohan,Benalouane  ,Leicester City,CB,Tunisia,11,0
208,118,Leonardo,Ulloa  ,Leicester City,CF,Argentina,19,0
209,118,Ben,Chilwell  ,Leicester City,LB,England,88,0
210,118,Nampalys,Mendy  ,Leicester City,DM,France,36,0
211,118,Ben,Hamer  ,Leicester City,GK,England,21,0
212,118,Molla,Wague  ,Leicester City,CB,Mali,56,0
213,118,Vicente,Iborra  ,Leicester City,DM,Spain,76,0
214,119,Roberto,Firmino  ,Liverpool,SS,Brazil,26,0
215,119,Philippe,Coutinho  ,Liverpool,AM,Brazil,81,0
216,119,Sadio,Mane  ,Liverpool,LW,Senegal,84,0
217,119,Georginio,Wijnaldum  ,Liverpool,CM,Netherlands,53,0
218,119,James,Milner  ,Liverpool,CM,England,43,0
219,119,Adam,Lallana  ,Liverpool,AM,England,45,0
220,119,Nathaniel,Clyne  ,Liverpool,RB,England,73,0
221,119,Simon,Mignolet  ,Liverpool,GK,Belgium,78,0
222,119,Dejan,Lovren  ,Liverpool,CB,Croatia,72,0
223,119,Emre,Can  ,Liverpool,DM,Germany,75,0
224,119,Joel,Matip  ,Liverpool,CB,Cameroon,82,0
225,119,Divock,Origi  ,Liverpool,CF,Belgium,88,0
226,119,Jordan,Henderson  ,Liverpool,CM,England,6,0
227,119,Daniel,Sturridge  ,Liverpool,CF,England,38,0
228,119,Lucas,Leiva  ,Liverpool,DM,Brazil,24,0
229,119,Ragnar,Klavan  ,Liverpool,CB,Estonia,87,0
230,119,Mamadou,Sakho  ,Liverpool,CB,France,54,0
231,119,Loris,Karius  ,Liverpool,GK,Germany,96,0
232,119,Trent,Alexander-Arnold  ,Liverpool,RB,England,93,0
233,119,Alberto,Moreno  ,Liverpool,LB,Spain,60,0
234,119,Ben,Woodburn  ,Liverpool,LW,Wales,44,0
235,119,Marko,Grujic  ,Liverpool,CM,Serbia,26,0
236,119,Joe,Gomez  ,Liverpool,CB,England,93,0
237,119,Sheyi,Ojo  ,Liverpool,LW,England,76,0
238,119,Mohamed,Salah  ,Liverpool,RW,Egypt,14,0
239,119,Danny,Ings  ,Liverpool,CF,England,45,0
240,119,Dominic,Solanke  ,Liverpool,CF,England,72,0
241,120,Kevin,De  ,Manchester City,AM,Belgium,87,0
242,120,Sergio,Aguero  ,Manchester City,CF,Argentina,2,0
243,120,Raheem,Sterling  ,Manchester City,LW,England,60,0
244,120,Kyle,Walker  ,Manchester City,RB,England,24,0
245,120,David,Silva  ,Manchester City,AM,Spain,9,0
246,120,Leroy,Sane  ,Manchester City,LW,Germany,42,0
247,120,Nicolas,Otamendi  ,Manchester City,CB,Argentina,54,0
248,120,Aleksandar,Kolarov  ,Manchester City,LB,Serbia,13,0
249,120,Yaya,Toure  ,Manchester City,CM,Cote d'Ivoire,89,0
250,120,Fernandinho,Ronladinho,Manchester City,DM,Brazil,64,0
251,120,Claudio,Bravo  ,Manchester City,GK,Chile,39,0
252,120,Gabriel,Jesus  ,Manchester City,CF,Brazil,46,0
253,120,John,Stones  ,Manchester City,CB,England,51,0
254,120,Vincent,Kompany  ,Manchester City,CB,Belgium,32,0
255,120,Kelechi,Iheanacho  ,Manchester City,CF,Nigeria,82,0
256,120,Ilkay,Gundogan  ,Manchester City,CM,Germany,87,0
257,120,Fernando,Hollando,Manchester City,DM,Brazil,61,0
258,120,Fabian,Delph  ,Manchester City,CM,England,93,0
259,120,Ederson,Moraes  ,Manchester City,GK,Brazil,64,0
260,120,Bernardo,Silva  ,Manchester City,RW,Portugal,24,0
